Tektronix PWRVIEW measurement snap-shot
Created, Thursday, 28 August 2014, 14:31:23
PA1000(0122),S/N C010122,Ver.1.001.006
Meas,PA1000(0122) 1
Wh13m,-9.2780 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh14m,-52.991 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh15m,-11.967 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh16m,297.42 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh17m,573.69 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh18m,-131.42 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh19m,-6.9751 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh20m,-290.31 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh21m,1.6969 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh22m,-240.90 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh23m,-237.55 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh24m,-167.52 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh25m,2.8020 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh26m,-70.740 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh27m,-483.94 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh28m,-85.849 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh29m,-435.09 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh30m,-55.329 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh31m,-783.42 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh32m,-12.037 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh33m,254.10 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh34m,16.846 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh35m,-605.52 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh36m,36.734 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh37m,378.54 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh38m,14.399 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh39m,-119.78 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh40m,7.6898 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh41m,149.92 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh42m,5.2709 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh43m,-7.9469 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh44m,10.950 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh45m,53.781 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh46m,-1.6492 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh47m,4.2160 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh48m,-5.8259 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh49m,-11.540 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh50m,13.676 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
